x,y1,y2
2.37,20.41,6.53
8.38,4.34,10.72
7.7,8.42,10.18
5.52,3.59,8.85
4.41,10.91,8.31
5.98,9.56,9.29
3.53,12.69,8.06
2.28,138.84,6.53
2.88,23.59,7.21
5.91,2.31,9.28
6.88,11.7,9.91
2.75,59.57,7.04
8.17,4.87,10.49
3.38,18.75,7.67
8.39,2.93,10.64
3.36,17.42,7.86
9.53,5.2,11.43
3.61,5.28,8.13
7.8,3.87,10.48
2.2,20.17,6.3
9.04,3.96,11.18
5.21,10.24,8.71
3.96,18.88,7.97
9.07,3.98,11.2
4.9,26.57,8.57
9.27,4.15,10.9
6.81,6.16,9.4
6.64,5.98,9.51
5.26,11.39,8.8
8.31,3.53,10.54
6.27,12.69,9.66
5.17,6.26,8.83
5.37,10.55,9.12
3.25,42.94,7.25
2.6,43.11,6.52
4.68,52.78,8.54
8.11,2.4,10.99
4.82,17.09,8.9
5.15,9.06,8.83
4.24,21.93,8.08
9.17,2.74,11.07
4.48,10.55,8.62
9.45,4.15,11.03
4.99,23.82,8.43
4.84,13.05,8.68
9.83,1.82,11.18
8.19,3.47,10.58
2.56,31.44,6.93
2.89,19.23,7.08
9.75,3.43,11.41
9.78,1.95,11.27
7.12,12.4,9.96
7.41,6.09,10.48
6.3,3.36,9.75
8.51,8.02,10.66
6.65,8.91,9.85
3.19,35.9,7.24
5.43,15.56,9.04
9.14,1.27,11.18
7.6,5.13,10.32
7.12,5.02,10.14
9.26,2.9,11.04
2.42,40.68,6.49
9.65,6.46,11.41
7.43,5.82,10.06
2.67,12.67,7.15
2.32,16.56,6.65
9.05,1.34,10.91
4.44,23.58,8.51
7.25,9.46,9.83
5.85,5.93,9.42
2.26,13.97,6.54
2.31,58.33,6.9
2.1,61.6,6.36
5.88,5.84,9.07
8.54,2.96,10.81
8.32,4.49,10.91
4.32,8.51,8.04
2.78,40.62,7.15
5.69,5.56,9.14
3.67,14.71,7.6
2.38,25.94,6.59
6.95,3.14,9.97
6.19,13.14,9.24
7.02,2.35,9.95
4.96,22.47,8.35
9.28,2.36,11.03
7.69,2.05,10.61
2.32,40.24,6.57
6.96,6.95,9.66
6.61,14.36,10.09
4.63,8.2,8.74
5.66,7.19,9.03
3.22,24.89,7.28
5.88,6.31,9.52
4.41,28.04,8.45
8.54,4.33,10.79
8.73,5.26,11.08
5.41,17.58,9.09
8.25,15.15,10.5
