yield,variety,soil,rainfall
13.4,A,sandy loam,69
14,B,loam,69
7.6,C,clay,77
11.4,D,sandy loam,67
10.2,A,loam,68
13,B,loam,64
13.1,C,sandy loam,60
11.6,D,sandy loam,81
12.3,A,sandy loam,78
9.1,B,sandy loam,61
9.1,C,clay,60
11.3,D,clay,69
13.3,A,clay,75
9.5,B,clay,77
14,C,sandy loam,70
10.8,D,sandy loam,78
12.5,A,clay,75
14.8,B,loam,71
15.1,C,sandy loam,76
11.8,D,loam,73
11.8,A,clay,79
9.5,B,clay,79
11.4,C,loam,74
13.4,D,sandy loam,83
13.2,A,clay,79
13,B,clay,76
10.6,C,loam,59
12.6,D,sandy loam,66
12.9,A,sandy loam,80
13,B,sandy loam,82
15.2,C,sandy loam,64
16.3,D,loam,82
15,A,loam,73
12.8,B,loam,79
9.3,C,sandy loam,79
9.6,D,clay,65
12.6,A,loam,60
9,B,clay,64
13,C,loam,75
12.4,D,clay,82
