DATE,GRSMIN,MIN,MAX,HUM,RAIN,BAR,PROFIT
1.7.2016,12.5,13.5,17.5,81,0,1003,114.98
2.7.2016,8,8.5,18.5,70,0.7,1007,133.95
3.7.2016,8.5,9,22,80,0,1013,114.3
4.7.2016,9.5,10,19.5,84,0.2,1014,128.59
5.7.2016,12,13.5,20,87,0,1011,131.22
6.7.2016,8.5,10,20.5,75,0,1018,149.18
7.7.2016,12.5,12.5,22.5,81,0,1015,140.88
8.7.2016,13,13.5,22.5,84,0,1009,126.25
9.7.2016,13,14,22,85,0,1013,146.14
10.7.2016,15,16,22.5,93,0,1004,124.03
11.7.2016,13.5,14.5,22,83,0.4,1001,138.33
12.7.2016,10.5,11,16,84,18.6,1006,93.5
13.7.2016,10.5,10,19,94,0,1012,152.16
14.7.2016,9.5,10.5,21,86,0,1018,97.06
15.7.2016,9,9.5,18,83,0,1021,117.47
16.7.2016,13,13,24,87,0,1020,126.73
17.7.2016,16,17,26.5,88,0,1018,117.1
18.7.2016,12.5,14,30,92,0,1018,140.17
19.7.2016,14,15,32,88,0,1014,125.45
20.7.2016,17,18.5,29,75,0,1002,96.59
21.7.2016,13.5,18.5,24,82,1.1,1011,117.32
22.7.2016,16.5,16,22,95,0,1014,141.97
23.7.2016,13,13.5,28,95,0,1016,130.84
24.7.2016,13,13.5,24,79,0.2,1014,101.32
25.7.2016,12,12,22,82,0,1014,142.69
26.7.2016,11.5,11.5,20,79,0.4,1017,96.79
27.7.2016,15,15.5,24.5,95,0,1010,140.64
28.7.2016,12,13,19.5,80,0,1010,121.91
29.7.2016,14,14.5,20.5,92,4.3,1006,125.04
30.7.2016,14.5,14,21.5,93,0,1009,137.06
31.7.2016,10,10.5,19,79,0,1012,141.5
1.8.2016,10.5,11,18,86,7.3,1014,117.78
2.8.2016,13.5,13,20,99,4,1005,135.16
3.8.2016,16,16,23,88,0,1003,87.74
4.8.2016,13.5,14,20.5,79,1.3,1003,139.5
5.8.2016,11.5,11.5,22.5,89,0,1014,114.01
6.8.2016,11.5,11.5,26,84,0,1022,136.76
7.8.2016,15,15,24,87,0,1019,149.01
8.8.2016,11.5,12.5,19.5,75,0,1017,90.87
9.8.2016,9,10,18.5,72,0,1021,131.87
10.8.2016,8.5,9,20,87,0,1020,134.65
11.8.2016,12,12,21,79,0,1017,141.56
12.8.2016,13,13.5,27,77,0,1019,88.41
13.8.2016,12.5,14,23.5,84,0,1017,120.71
14.8.2016,11,12,23,79,0,1021,107.09
15.8.2016,10,10,26,93,0,1022,141.46
16.8.2016,9.5,10.5,24.5,93,0,1016,142.68
17.8.2016,10.5,11,27.5,96,0,1010,121.38
18.8.2016,12,13,25,94,0.2,1006,126.2
19.8.2016,13,14,18,96,1.3,1002,82.52
20.8.2016,12.5,13,20,84,0.9,1000,101.99
21.8.2016,13.5,14.5,22,84,1.7,1009,112.31
22.8.2016,14.5,15,23.5,89,0,1017,141.46
23.8.2016,12.5,13,31,93,0,1018,112.46
24.8.2016,15,15.5,33.5,92,1.3,1012,148.88
25.8.2016,16.5,16.5,25.5,95,0.3,1010,111.68
26.8.2016,14.5,15,27,88,0,1011,138.11
27.8.2016,12.5,14.5,25,92,0,1012,154.6
28.8.2016,14.5,15.5,21,90,7.2,1006,139.87
29.8.2016,13,13,24,96,0,1016,122.04
30.8.2016,11,11.5,27,89,0,1019,129.6
31.8.2016,11,11.5,22,88,0.1,1014,99.58
1.9.2016,11,11.5,24.5,94,0,1019,118.47
2.9.2016,12,12.5,19.5,93,1.8,1014,116.55
3.9.2016,10,10.5,19,100,7.6,1013,122.05
4.9.2016,13.5,12.5,18.5,95,2.4,1007,120.64
5.9.2016,14,14,20,100,0.3,1015,111.24
6.9.2016,15.5,14.5,21.5,99,0.1,1020,130.08
7.9.2016,16,17.5,27,100,0,1017,133.65
8.9.2016,13,13.5,22,92,0,1008,126.3
9.9.2016,13,14,21.5,95,1.9,1022,147.3
10.9.2016,15.5,16.5,18,100,4.1,1020,144.6
11.9.2016,9,9.5,22,100,0,1033,150.86
12.9.2016,9.5,9.5,24,98,0.2,1009,129.05
13.9.2016,14,13.5,31.5,98,0,1006,104.72
14.9.2016,15,16.5,29,97,0,1005,116.85
15.9.2016,14.5,15.5,26.5,100,11.6,1006,130.15
16.9.2016,15.5,15,16,100,7.6,1006,83.84
17.9.2016,12,11,14.5,100,0.2,1015,120.07
18.9.2016,13.5,11.5,18,98,0,1017,121.18
19.9.2016,13,13,18,96,0.6,1017,159.24
20.9.2016,14,13,17.5,99,0,1016,143.73
21.9.2016,12,12.5,20.5,100,0,1014,115.47
22.9.2016,12,13,20,97,0,1014,114.12
23.9.2016,7,7,19.5,91,0,1020,89.72
24.9.2016,8.5,9.5,21,92,0.3,1014,135.81
25.9.2016,13.5,14,18,97,0.2,1007,122.31
26.9.2016,7.5,8.5,16,96,0.4,1017,146.36
27.9.2016,9,10.5,17.5,97,0,1017,135.98
28.9.2016,10,10.5,20,94,1.8,1019,146.05
29.9.2016,12.5,12,18,97,0.5,1009,148.71
30.9.2016,8,8.5,18.5,99,0,1008,122.21
1.10.2016,7.5,8.5,15.5,97,2.9,1001,101.48
2.10.2016,8,8,16.5,99,0,1010,105.7
3.10.2016,5.3,5.5,19,96,0,1024,129.24
4.10.2016,7.5,7,18,99,0,1026,106.39
5.10.2016,7,9,16.5,96,0,1026,111.2
6.10.2016,5.5,7,14.5,95,0.1,1023,144.6
7.10.2016,6.5,9,13.5,97,0.3,1018,125.85
8.10.2016,10,11,14,100,0.7,1021,100.31
9.10.2016,5.8,6,13,97,0.1,1023,120.56
10.10.2016,4.5,5,12,99,0,1022,101.96
11.10.2016,3.5,4,14.5,100,0,1019,159.97
12.10.2016,6,5,13.5,95,1.5,1017,129.35
